who,ID,day.night,date,site,transect,species,meter,stage,clutches,eggs,height,locn,position on leaf,dist to margin,leaf area,photos,other EM in 5m,dist to nearest othr EM,plant family,plant species,leaf surf. type,water depth,water velocity,strm subst,parent,parent position,health at first obs,leaf damage,notes
MET,2044,N,10-June-15,P5,RT1,HYAVAL,NA,1,1,29,356,over water,under,NA,NA,9599-9603,NA,NA,Moraceae,Ficus sp.,glabrous,NA,NA,NA,male guarding,not touching,NA,NA,NA
MET,2029,N,10-June-15,P5,RT2,HYAVAL,NA,1,1,NA,>2m,over water,under,NA,NA,9549,NA,NA,Arecaceae,Geonoma congesta,glabrous,NA,NA,NA,male guarding,not touching,NA,NA,NA
MET,2109,N,19-June-15,P13,RT2,TERSPI,NA,NA,1,NA,230,over water,NA,NA,NA,9684-9688,NA,NA,Melastomataceae,Miconia gracilis,glabrous,NA,NA,NA,NA,NA,NA,NA,NA
MET,2111,N,19-June-15,P13,RT2,TERSPI,NA,NA,1,NA,93,over water,NA,NA,NA,9689-9693,NA,NA,Rhamnaceae,Colubrina spinosa,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,2124,N,19-June-15,P13,RT3,HYAVAL,NA,NA,1,NA,175,over water,under,NA,NA,9713-9717,NA,NA,Piperaceae,Piper culebranum,hairy,NA,NA,NA,male guarding,not touching,NA,NA,NA
MET,2179,N,2-July-15,P5,RT4,ESPPRO,NA,NA,1,NA,NA,over water,top,NA,NA,9815-9821,NA,NA,Salicaceae,Ryania speciosa,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,2184,N,2-July-15,P5,RT4,HYAVAL,NA,NA,1,NA,NA,over water,under,NA,NA,9822-9823,NA,NA,Piperaceae,Piper pentagonum,hairy,NA,NA,NA,male guarding,on top of clutch,NA,NA,NA
MET,2186.1,N,2-July-15,P5,RT4,HYAVAL,50,NA,2,NA,245,over water,under,NA,NA,9838-9842,NA,NA,Rubiaceae,Posoqueria grandifructa,glabrous,NA,NA,NA,male guarding,not touching,NA,NA,NA
MET,2186.1999999999998,N,2-July-15,P5,RT4,HYAVAL,50,NA,2,NA,245,over water,under,NA,NA,9838-9842,NA,NA,Rubiaceae,Posoqueria grandifructa,glabrous,NA,NA,NA,male guarding,not touching,NA,NA,NA
MET,2187,N,2-July-15,P5,RT4,HYAVAL,50,NA,1,NA,110,over bank,under,NA,NA,NA,NA,NA,Rubiaceae,Posoqueria grandifructa,glabrous,NA,NA,NA,NA,NA,NA,NA,NA
MET,2208,N,28-July-15,P1,RT2,TERSPI,NA,NA,1,NA,170,over water,under,NA,NA,30-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MET,2209,N,28-July-15,P1,RT2,TERSPI,NA,1,1,21,170,over water,under,NA,NA,30-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MET,P1HYAVAL11,N,11-June-17,P1,RT1,HYAVAL,45,4,2,20,400,over bank,under,na,NA,663-665,4,0,Heliconiaceae,Heliconia imbricata,glabrous,NA,NA,mud,male guarding,not touching,healthy,NA,"hyaval 11, 12, same male"
MET,2238,N,29-July-15,P1,RT2,TERSPI,NA,NA,1,NA,124,over water,under,NA,NA,70,NA,NA,Araceae,NA,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,2239,N,29-July-15,P1,RT2,UK,NA,NA,1,NA,140,over water,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MET,2225,N,29-July-15,P1,RT3,ESPPRO,NA,NA,1,NA,145,over water,top,NA,NA,47-51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,damaged leaf,NA
MET,2226,N,29-July-15,P1,RT3,ESPPRO,NA,NA,1,NA,150,over water,moss,NA,NA,52-59,NA,NA,Moss,NA,other,NA,NA,NA,no,NA,NA,NA,NA
MET,2227,N,29-July-15,P1,RT3,ESPPRO,NA,NA,1,NA,170,over water,moss,NA,NA,52-59,NA,NA,Moss,NA,other,NA,NA,NA,no,NA,NA,NA,NA
MET,2228,N,29-July-15,P1,RT3,ESPPRO,NA,NA,1,NA,150,over water,moss,NA,NA,52-59,NA,NA,Moss,NA,other,NA,NA,NA,no,NA,NA,NA,NA
MET,2229,N,29-July-15,P1,RT3,TERSPI,NA,NA,1,NA,45,over water,under,NA,NA,60-66,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA
MET,2318,N,42221,Tir,RT1,TERSPI,NA,NA,1,NA,NA,over water,under,NA,NA,146-154,NA,NA,Euphorbiaceae,Tetrorchidium euryphyllum,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,2319,N,42221,Tir,RT1,TERSPI,NA,NA,1,NA,NA,over water,under,NA,NA,136-145,NA,NA,Primulaceae,Ardisia fimbrillifera,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,2317,N,42221,Tir,RT3,ESPPRO,NA,NA,1,NA,200,over water,moss,NA,NA,NA,NA,NA,Moss,NA,other,NA,NA,NA,no,NA,NA,NA,NA
MET,2919,N,42297,Tir,RT1,ESPPRO,NA,NA,1,NA,NA,over water,moss,NA,NA,9909-9912,NA,NA,Moss,NA,other,NA,NA,NA,no,NA,NA,NA,NA
MET,2904,N,42297,Tir,RT2,ESPPRO,NA,NA,1,NA,>2m,over water,top,NA,NA,9887-9891,NA,NA,Meliaceae,Guarea bullata,hairy,NA,NA,NA,no,NA,NA,NA,NA
MET,2908,N,42297,Tir,RT2,TERSPI,NA,NA,1,NA,200,over water,under,NA,NA,9892-9895,NA,NA,Gesneriaceae,Besleria robusta,hairy,NA,NA,NA,no,NA,NA,NA,NA
MET,2912,N,42297,Tir,RT3,ESPPRO,NA,NA,1,NA,NA,over water,top,NA,NA,902-9908,NA,NA,Violaceae,Rinorea deflexiflora,hairy,NA,NA,NA,male perched on same plant,NA,NA,NA,NA
MET,3036,N,42304,POT4,RT1,TERSPI,NA,NA,1,NA,130,over water,under,NA,NA,42-49,NA,NA,Piperaceae,Piper pseudobumbratum,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,3186,N,42332,P5,RT1,ESPPRO,NA,NA,1,NA,130,over water,top,NA,37.57,262-265,NA,NA,Piperaceae,Piper decurrens,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,3191,N,42332,P5,RT1,ESPPRO,NA,NA,1,NA,300,over water,top,NA,NA,NA,NA,NA,Araceae,NA,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,3192.1,N,42332,P5,RT1,HYAVAL,50,NA,2,NA,220,over water,under,NA,NA,NA,NA,NA,Moraceae,Ficus sp.,glabrous,NA,NA,NA,NA,NA,NA,NA,NA
MET,3192.2,N,42332,P5,RT1,HYAVAL,50,NA,2,NA,220,over water,under,NA,NA,NA,NA,NA,Moraceae,Ficus sp.,glabrous,NA,NA,NA,NA,NA,NA,NA,NA
MET,3204,N,42339,P1,RT1,TERSPI,NA,1,1,NA,143,over water,under,0,690.87,291-293,NA,NA,Araceae,Diffenbachia nitidipetiolata,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,3216,N,42340,P1,RT2,TERSPI,NA,NA,1,NA,165,over water,under,NA,NA,309-311,NA,NA,Araceae,Philodendron sp.,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,3217,N,42340,P1,RT2,TERSPI,NA,NA,1,NA,155,over land,under,NA,NA,312-317,NA,NA,Euphorbiaceae,Acalypha diversifolia,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,4592,N,42525,P5,RT1,ESPPRO,NA,NA,1,NA,230,over water,top,NA,NA,877-878,NA,NA,Araceae,NA,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,4608,N,42525,P5,RT1,ESPPRO,NA,NA,1,NA,NA,over water,top,NA,128.46,901-906,NA,NA,Bignoniaceae,Tanaecium pyramidatum,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,4606,N,42525,P5,RT1,ESPPRO,NA,NA,1,NA,172,over land,top,NA,20.24,895-900,NA,NA,Piperaceae,Piper decurrens,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,4603,N,42525,P5,RT2,HYAVAL,NA,NA,1,NA,152,over water,under,NA,NA,883,NA,NA,Arecaceae,Welfia regia,glabrous,NA,NA,NA,male guarding,not touching,NA,NA,NA
MET,4604,N,42525,P5,RT2,TERSPI,NA,NA,1,NA,253,over water,under,NA,NA,"891, 892, 894",NA,NA,Rubiaceae,Warszewiczia coccinea,hairy,NA,NA,NA,no,NA,NA,NA,NA
MET,4738,N,42533,P1,RT2,TERSPI,NA,NA,1,NA,180,over bank,under,0,NA,970,NA,NA,Costaceae,NA,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,4742,N,42533,P1,RT2,TERSPI,NA,NA,1,NA,40,over bank,under,NA,NA,971-978,NA,NA,Araceae,Anthurium ochanthum,glabrous,NA,NA,NA,male perched on same plant,NA,NA,NA,NA
MET,4753,N,42533,P1,RT3,TERSPI,NA,NA,1,NA,200,over bank,under,NA,NA,NA,NA,NA,Araceae,NA,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,4754,N,42533,P1,RT3,TERSPI,NA,NA,1,NA,25,over bank,under,NA,NA,NA,NA,NA,Araceae,NA,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,4899,N,42551,P13,RT3,TERSPI,NA,NA,1,NA,130,over water,under,0,348.48,1141,NA,NA,Heliconiaceae,NA,glabrous,NA,NA,NA,no,NA,NA,damaged leaf,NA
MET,5113,N,42627,POT4,RT1,TERSPI,NA,NA,1,NA,NA,over bank,under,NA,NA,1435-1441,NA,NA,Piperaceae,Piper pseudobumbratum,glabrous,NA,NA,NA,no,NA,NA,damaged leaf,NA
MET,5501,N,42669,P5,RT1,ESPPRO,NA,NA,1,NA,240,over water,top,NA,NA,451-458,NA,NA,Piperaceae,Piper decurrens,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,5502,N,42669,P5,RT1,TERSPI,NA,NA,1,NA,120,over bank,moss,NA,NA,451-458,NA,NA,Moss,NA,other,NA,NA,NA,no,NA,NA,NA,NA
MET,5520,N,42670,P5,RT2,TERSPI,NA,NA,1,NA,145,over water,under,NA,247.01,463-471,NA,NA,Rubiaceae,Psychotria elata,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,5523,N,42670,P5,RT2,TERSPI,NA,1,1,21,120,over water,under,27,NA,474,NA,NA,Araceae,NA,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,5542.1,N,42670,P5,RT4,HYAVAL,NA,NA,2,NA,50,over water,under,NA,NA,526-533,NA,NA,Cyclanthaceae,Dicranopygium umbrophilum,glabrous,NA,NA,NA,male guarding,not touching,NA,NA,NA
MET,5542.2,N,42670,P5,RT4,HYAVAL,NA,NA,2,NA,50,over water,under,NA,NA,526-533,NA,NA,Cyclanthaceae,Dicranopygium umbrophilum,glabrous,NA,NA,NA,male guarding,not touching,NA,NA,NA
MET,5544,N,42670,P5,RT4,TERSPI,NA,NA,1,NA,80,over bank,under,NA,NA,534-541,NA,NA,Araceae,Spathiphyllum flavovirens,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,550.1,N,42670,P5,RT4,HYAVAL,NA,NA,2,NA,215,over water,under,NA,NA,592-560,NA,NA,Rubiaceae,Faramea suerrensis,glabrous,NA,NA,NA,male guarding,not touching,NA,NA,NA
MET,550.20000000000005,N,42670,P5,RT4,HYAVAL,NA,NA,2,NA,215,over water,under,NA,NA,592-560,NA,NA,Rubiaceae,Faramea suerrensis,glabrous,NA,NA,NA,male guarding,touching,NA,NA,NA
MET,5553,N,42670,P5,RT4,HYAVAL,NA,NA,1,NA,130,over water,under,NA,NA,592-560,NA,NA,Rubiaceae,Faramea suerrensis,glabrous,NA,NA,NA,male guarding,not touching,NA,NA,NA
MET,5566,N,42671,P1,RT1,TERSPI,NA,NA,1,NA,159,over water,under,NA,44.57,609-612,NA,NA,Pteridophyta,NA,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,5568,N,42671,P1,RT3,TERSPI,NA,NA,1,NA,135,over water,under,NA,NA,613-618,1,NA,Burseraceaee,Protium panamense,glabrous,NA,NA,NA,no,NA,NA,damaged leaf,NA
MET,5569,N,42671,P1,RT3,TERSPI,NA,NA,1,NA,135,over water,under,NA,NA,619,1,NA,Burseraceaee,Protium panamense,glabrous,NA,NA,NA,no,NA,NA,damaged leaf,NA
MET,5596,N,42674,P1,RT3,TERSPI,NA,1,1,22,130,over bank,under,0,NA,633-637,NA,NA,Euphorbiaceae,Acalypha diversifolia,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,P1HYAVAL12,N,11-June-17,P1,RT1,HYAVAL,45,4,2,39,400,over bank,under,na,NA,663-665,4,0,Heliconiaceae,Heliconia imbricata,glabrous,NA,NA,mud,male guarding,not touching,healthy,NA,"hyaval 11, 12, same male"
MET,P1HYAVAL13,N,11-June-17,P1,RT1,HYAVAL,46,4,3,uk,450,over bank,under,na,6203.226,666,4,1,Heliconiaceae,Heliconia imbricata,glabrous,NA,NA,mud,male guarding,not touching,uk,damaged leaf,"hyaval, 13, 14, 15, same male"
MET,P1HYAVAL14,N,11-June-17,P1,RT1,HYAVAL,45,"3,4",3,uk,450,over bank,under,NA,6203.226,666,4,1,Heliconiaceae,Heliconia imbricata,glabrous,NA,NA,mud,male guarding,not touching,uk,damaged leaf,"hyaval, 13, 14, 15, same male"
MET,5611,N,42674,P1,RT2,TERSPI,NA,NA,1,NA,160,over water,under,NA,NA,644-645,NA,NA,Araceae,Anthurium ochanthum,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,P1HYAVAL15,N,11-June-17,P1,RT1,HYAVAL,46,1,3,uk,450,over bank,under,NA,6203.226,666,4,1,Heliconiaceae,Heliconia imbricata,glabrous,NA,NA,mud,male guarding,not touching,uk,damaged leaf,"hyaval, 13, 14, 15, same male"
XOR,P1HYAVAL30,N,42915,P1,RT1,HYAVAL,16.5,3/4,1,unk,200,over land,under,na,159.462,3413-3418/1403-1408,0,NA,Araceae,Rhodospatha wendlandii,glabrous,NA,NA,NA,no,NA,2 fungal,yes,check species
MET,5622,N,42674,P1,RT1,TERSPI,NA,NA,1,NA,NA,over water,under,NA,NA,665-670,NA,NA,Piperaceae,Piper urophyllum,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,6036,N,42702,Tir,RT2,TERSPI,NA,NA,1,NA,180,over water,under,NA,NA,NA,NA,NA,Melastomataceae,Miconia commutata,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,6038,N,42702,Tir,RT2,TERSPI,NA,NA,1,NA,180,over water,under,NA,NA,NA,NA,NA,Gesneriaceae,Besleria robusta,hairy,NA,NA,NA,no,NA,NA,NA,NA
MET,6057,N,42702,Tir,RT1,TERSPI,NA,NA,1,NA,52,over water,under,NA,NA,NA,NA,NA,Melastomataceae,Henriettella tuberculosa,glandular,NA,NA,NA,no,NA,NA,NA,NA
MET,6058,N,42702,Tir,RT1,ESPPRO,NA,NA,1,NA,195,over water,under,NA,NA,NA,NA,NA,Melastomataceae,Henriettella tuberculosa,glandular,NA,NA,NA,no,NA,NA,NA,NA
MET,6061,N,42702,Tir,RT1,ESPPRO,NA,NA,1,NA,165,over water,moss,NA,NA,NA,NA,NA,Moss,NA,other,NA,NA,NA,no,NA,NA,NA,NA
MET,6062,N,42702,Tir,RT1,TERSPI,NA,NA,1,NA,120,over water,under,NA,NA,NA,NA,NA,Piperaceae,Piper pentagonum,hairy,NA,NA,NA,no,NA,NA,NA,NA
MET,3163,N,42328,P15,RT3,TERSPI,NA,NA,1,NA,146,over bank,under,NA,NA,233,NA,NA,Arecaceae,NA,glabrous,NA,NA,NA,NA,NA,NA,NA,NA
MET,3164,N,42328,P15,RT3,TERSPI,NA,NA,1,NA,200,NA,under,NA,NA,NA,NA,NA,Piperaceae,Piper pentagonum,hairy,NA,NA,NA,NA,NA,NA,NA,NA
MET,3485,N,42391,P15,RT3,TERSPI,NA,NA,1,NA,180,over water,under,NA,NA,175-177,NA,NA,Melastomataceae,Henriettea tuberculosa,glandular,NA,NA,NA,NA,NA,NA,NA,NA
MET,6066,N,42702,Tir,RT1,TERSPI,NA,NA,1,NA,300,over water,under,NA,NA,NA,NA,NA,Araceae,NA,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,P16ESPPRO1,N,42877,P16,RT2,ESPPRO,28,4,1,30,180,over water,top,na,NA,"477, 480, 485",0,>20m,Piperaceae,Piper decurrens,glabrous,NA,NA,NA,no,NA,1 eggs grey/undeveloped,NA,NA
MET,P16ESPPRO2,N,42880,P16,RT3,ESPPRO,0,2,1,21,152,over water,moss,na,NA,490,2,0.2,Moss,NA,other,NA,NA,sand,no,NA,2 eggs grey/undeveloped,NA,NA
MET,P16ESPPRO3,N,42880,P16,RT3,ESPPRO,0,1,1,24,152,over water,moss,na,NA,"491, 493",2,0.2,Moss,NA,other,4,NA,sand,no,NA,healthy,NA,one tadpole left from previous egg mass laid in sampe spot (no data taken)
MET,P16TERSPI1,N,42880,P16,RT3,TERSPI,46,4,1,20,130,over water,under,na,NA,499,0,>20m,Araceae,NA,glabrous,NA,NA,sand,no,NA,healthy,NA,NA
MET,P16ESPPRO4,N,42885,P16,RT1,ESPPRO,20,2,1,21,201,over water,top,na,NA,na,0,NA,Moraceae,Maquira guianensis,glabrous,NA,NA,mud,no,NA,healthy,NA,NA
MET,P1HYAVAL1,D,8-June-17,P1,RT3,HYAVAL,50,4,1,15,350,over bank,under,na,NA,na,2,NA,Burseraceae,Protium panamense,glabrous,NA,NA,mud,male guarding,not touching,healthy,NA,NA
MET,P1HYAVAL2,D,8-June-17,P1,RT3,HYAVAL,50,4,2,uk,350,over water,under,na,NA,na,2,0.1,Burseraceae,Protium panamense,glabrous,60,NA,mud,male guarding,not touching,healthy,NA,same male as hyaval2
MET,P1HYAVAL3,D,8-June-17,P1,RT3,HYAVAL,50,1,2,45,350,over water,under,na,NA,na,2,0.1,Burseraceae,Protium panamense,glabrous,60,NA,mud,male guarding,not touching,healthy,NA,same male as hyaval 3
MET,P1HYAVAL4,D,8-June-17,P1,RT2,HYAVAL,50,4,3,4,140,over water,under,na,265.588,644-653,2,NA,Cyclanthaceae,Dicranopygium umbrophilum,glabrous,NA,NA,mud,male guarding,not touching,4 eggs grey/undeveloped,NA,"hyaval 4, 5, 6 same male"
MET,P1HYAVAL5,D,8-June-17,P1,RT2,HYAVAL,50,4,3,3,140,over water,under,na,265.588,644-653,2,0.02,Cyclanthaceae,Dicranopygium umbrophilum,glabrous,NA,NA,mud,male guarding,not touching,healthy,NA,"hyaval 4, 5, 6 same male"
MET,P1HYAVAL6,D,8-June-17,P1,RT2,HYAVAL,50,3,3,34,140,over water,under,na,265.588,644-653,2,0.02,Cyclanthaceae,Dicranopygium umbrophilum,glabrous,NA,NA,mud,male guarding,touching,healthy,NA,"hyaval 4, 5, 6 same male"
MET,P1TERSPI1,D,8-June-17,P1,RT1,TERSPI,5,3/4,1,28,250,over water,under,na,178.292,655-656,0,7,Primulaceae,Ardisia auriculata,glabrous,NA,NA,NA,no,NA,healthy,NA,NA
MET,P1ESPPRO1,D,8-June-17,P1,RT1,ESPPRO,12,3,1,21,200,over water,moss,na,NA,657,2,0.02,Moss,(on plant Elaeocarpaceae:Sloanea geniculata),other,NA,NA,sand,no,NA,healthy,NA,NA
MET,P1ESPPRO2,D,8-June-17,P1,RT1,ESPPRO,12,4,1,22,200,over water,moss,na,NA,658,2,0.02,Moss,(on plant Elaeocarpaceae:Sloanea geniculata),other,NA,NA,sand,no,NA,healthy,NA,NA
MET,P1ESPPRO3,D,8-June-17,P1,RT1,ESPPRO,12,4,1,16,200,over water,moss,na,NA,659,2,2.5000000000000001E-2,Moss,(on plant Elaeocarpaceae:Sloanea geniculata),other,NA,NA,sand,no,NA,healthy,NA,NA
MET,P1HYAVAL7,D,8-June-17,P1,RT1,HYAVAL,33,1,1,40,NA,over water,under,NA,520.568,667,4,0.04,Urticaceae,Myriocarpa longipes,hairy,10,NA,sand,male guarding,touching,healthy,NA,"hyaval7, 8 same male"
MET,P1HYAVAL8,D,8-June-17,P1,RT1,HYAVAL,33,3/4,1,uk,NA,over water,under,na,520.568,667,4,0.04,Urticaceae,Myriocarpa longipes,hairy,10,NA,sand,male guarding,touching,healthy,NA,"hyaval7, 8 same male"
MET,P1HYAVAL9,D,8-June-17,P1,RT1,HYAVAL,33,3,2,27,NA,over water,under,na,718.776,668,4,1,Urticaceae,Myriocarpa longipes,hairy,NA,NA,sand,male guarding,touching,healthy,NA,"hyaval 9, 10, same male"
