Who,ID,Day/Night,Date,Site,Transect,Species,Meter,Stage,clutches,eggs,Height,Locn,Position of Leaf,Distance to margin,Leaf area,Photos,other EM,dist to nearest othr EM,Plant Family,Plant species,Leaf type,Water depth,Water velocity,Strm subst,Parent,parent position,health at first obs,Leaf damage?,Notes
MET,2109,N,19-Jun-15,P13,RT2,TERSPI,,,1,,230,over water,,,,9684-9688,,,Melastomataceae,Miconia gracilis,glabrous,,,,,,,,
MET,2111,N,19-Jun-15,P13,RT2,TERSPI,,,1,,93,over water,,,,9689-9693,,,Rhamnaceae,Colubrina spinosa,glabrous,,,,no,,,,
MET,2124,N,19-Jun-15,P13,RT3,HYAVAL,,,1,,175,over water,under,,,9713-9717,,,Piperaceae,Piper culebranum,hairy,,,,male guarding ,not touching,,,
MET,2179,N,2-Jul-15,P5,RT4,ESPPRO,,,1,,,over water,top,,,9815-9821,,,Salicaceae,Ryania speciosa,glabrous,,,,no,,,,
MET,2184,N,2-Jul-15,P5,RT4,HYAVAL,,,1,,,over water,under,,,9822-9823,,,Piperaceae,Piper pentagonum,hairy,,,,male guarding,on top of clutch,,,
MET,2186.1,N,2-Jul-15,P5,RT4,HYAVAL,50,,2,,245,over water,under,,,9838-9842,,,Rubiaceae,Posoqueria grandifructa,glabrous,,,,male guarding,not touching,,,
MET,2186.2,N,2-Jul-15,P5,RT4,HYAVAL,50,,2,,245,over water,under,,,9838-9842,,,Rubiaceae,Posoqueria grandifructa,glabrous,,,,male guarding,not touching,,,
MET,2187,N,2-Jul-15,P5,RT4,HYAVAL,50,,1,,110,over bank,under,,,,,,Rubiaceae,Posoqueria grandifructa,glabrous,,,,,,,,
MET,2208,N,28-Jul-15,P1,RT2,TERSPI,,,1,,170,over water,under,,,30-39,,,,,,,,,,,,,
MET,2209,N,28-Jul-15,P1,RT2,TERSPI,,1,1,21,170,over water,under,,,30-39,,,,,,,,,,,,,
MET,P1HYAVAL11,N,11-Jun-17,P1,RT1,HYAVAL,45,4,2,20,400,over bank,under,na,,663-665,4,0,Heliconiaceae,Heliconia imbricata,glabrous,,,mud,male guarding,not touching,healthy,,"hyaval 11, 12, same male"
MET,2238,N,29-Jul-15,P1,RT2,TERSPI,,,1,,124,over water,under,,,70,,,Araceae,,glabrous,,,,no,,,,
MET,2239,N,29-Jul-15,P1,RT2,UK,,,1,,140,over water,,,,70,,,,,,,,,,,,,
MET,2225,N,29-Jul-15,P1,RT3,ESPPRO,,,1,,145,over water,top,,,47-51,,,,,,,,,,,,damaged leaf,
MET,2226,N,29-Jul-15,P1,RT3,ESPPRO,,,1,,150,over water,moss,,,52-59,,,Moss,,other,,,,no,,,,
MET,2227,N,29-Jul-15,P1,RT3,ESPPRO,,,1,,170,over water,moss,,,52-59,,,Moss,,other,,,,no,,,,
MET,2228,N,29-Jul-15,P1,RT3,ESPPRO,,,1,,150,over water,moss,,,52-59,,,Moss,,other,,,,no,,,,
MET,2229,N,29-Jul-15,P1,RT3,TERSPI,,,1,,45,over water,under,,,60-66,,,,,,,,,no,,,,
MET,2318,N,5-Aug-15,Tir,RT1,TERSPI,,,1,,,over water,under,,,146-154,,,Euphorbiaceae,Tetrorchidium euryphyllum,glabrous,,,,no,,,,
MET,2319,N,5-Aug-15,Tir,RT1,TERSPI,,,1,,,over water,under,,,136-145,,,Primulaceae,Ardisia fimbrillifera,glabrous,,,,no,,,,
MET,2317,N,5-Aug-15,Tir,RT3,ESPPRO,,,1,,200,over water,moss,,,,,,Moss,,other,,,,no,,,,
MET,2919,N,20-Oct-15,Tir,RT1,ESPPRO,,,1,,,over water,moss,,,9909-9912,,,Moss,,other,,,,no,,,,
MET,2904,N,20-Oct-15,Tir,RT2,ESPPRO,,,1,,>2m,over water,top,,,9887-9891,,,Meliaceae,Guarea bullata,hairy,,,,no,,,,
MET,2908,N,20-Oct-15,Tir,RT2,TERSPI,,,1,,200,over water,under,,,9892-9895,,,Gesneriaceae,Besleria robusta,hairy,,,,no,,,,
MET,2912,N,20-Oct-15,Tir,RT3,ESPPRO,,,1,,,over water,top,,,902-9908,,,Violaceae,Rinorea deflexiflora,hairy,,,,male perched on same plant,,,,
MET,3036,N,27-Oct-15,POT4,RT1,TERSPI,,,1,,130,over water,under,,,42-49,,,Piperaceae,Piper pseudobumbratum,glabrous,,,,no,,,,
MET,3186,N,24-Nov-15,P5,RT1,ESPPRO,,,1,,130,over water,top,,37.57,262-265,,,Piperaceae,Piper decurrens,glabrous,,,,no,,,,
MET,3191,N,24-Nov-15,P5,RT1,ESPPRO,,,1,,300,over water,top,,,,,,Araceae,,glabrous,,,,no,,,,
MET,3192.1,N,24-Nov-15,P5,RT1,HYAVAL,50,,2,,220,over water,under,,,,,,Moraceae,Ficus sp.,glabrous,,,,,,,,
MET,3192.2,N,24-Nov-15,P5,RT1,HYAVAL,50,,2,,220,over water,under,,,,,,Moraceae,Ficus sp.,glabrous,,,,,,,,
MET,3204,N,1-Dec-15,P1,RT1,TERSPI,,1,1,,143,over water,under,0,690.87,291-293,,,Araceae,Diffenbachia nitidipetiolata,glabrous,,,,no,,,,
MET,3216,N,2-Dec-15,P1,RT2,TERSPI,,,1,,165,over water,under,,,309-311,,,Araceae,Philodendron sp. ,glabrous,,,,no,,,,
MET,3217,N,2-Dec-15,P1,RT2,TERSPI,,,1,,155,over land,under,,,312-317,,,Euphorbiaceae,Acalypha diversifolia,glabrous,,,,no,,,,
MET,4592,N,4-Jun-16,P5,RT1,ESPPRO,,,1,,230,over water,top,,,877-878,,,Araceae,,glabrous,,,,no,,,,
MET,4608,N,4-Jun-16,P5,RT1,ESPPRO,,,1,,,over water,top,,128.46,901-906,,,Bignoniaceae,Tanaecium pyramidatum,glabrous,,,,no,,,,
MET,4606,N,4-Jun-16,P5,RT1,ESPPRO,,,1,,172,over land,top,,20.24,895-900,,,Piperaceae,Piper decurrens,glabrous,,,,no,,,,
MET,4603,N,4-Jun-16,P5,RT2,HYAVAL,,,1,,152,over water,under,,,883,,,Arecaceae,Welfia regia,glabrous,,,,male guarding,not touching,,,
MET,4604,N,4-Jun-16,P5,RT2,TERSPI,,,1,,253,over water,under,,,"891, 892, 894",,,Rubiaceae,Warszewiczia coccinea,hairy,,,,no,,,,
MET,4738,N,12-Jun-16,P1,RT2,TERSPI,,,1,,180,over bank,under,0,,970,,,Costaceae ,,glabrous,,,,no,,,,
MET,4742,N,12-Jun-16,P1,RT2,TERSPI,,,1,,40,over bank,under,,,971-978,,,Araceae,Anthurium ochanthum,glabrous,,,,male perched on same plant,,,,
MET,4753,N,12-Jun-16,P1,RT3,TERSPI,,,1,,200,over bank,under,,,,,,Araceae,,glabrous,,,,no,,,,
MET,4754,N,12-Jun-16,P1,RT3,TERSPI,,,1,,25,over bank,under,,,,,,Araceae,,glabrous,,,,no,,,,
MET,4899,N,30-Jun-16,P13,RT3,TERSPI,,,1,,130,over water,under,0,348.48,1141,,,Heliconiaceae,,glabrous,,,,no,,,damaged leaf,
MET,5113,N,14-Sep-16,POT4,RT1,TERSPI,,,1,,,over bank,under,,,1435-1441,,,Piperaceae,Piper pseudobumbratum,glabrous,,,,no,,,damaged leaf,
MET,5501,N,26-Oct-16,P5,RT1,ESPPRO,,,1,,240,over water,top,,,451-458,,,Piperaceae,Piper decurrens,glabrous,,,,no,,,,
MET,5502,N,26-Oct-16,P5,RT1,TERSPI,,,1,,120,over bank,moss,,,451-458,,,Moss,,other,,,,no,,,,
MET,5520,N,27-Oct-16,P5,RT2,TERSPI,,,1,,145,over water,under,,247.01,463-471,,,Rubiaceae,Psychotria elata,glabrous,,,,no,,,,
MET,5523,N,27-Oct-16,P5,RT2,TERSPI,,1,1,21,120,over water,under,27,,474,,,Araceae,,glabrous,,,,no,,,,
MET,5542.1,N,27-Oct-16,P5,RT4,HYAVAL,,,2,,50,over water,under,,,526-533,,,Cyclanthaceae,Dicranopygium umbrophilum,glabrous,,,,male guarding,not touching,,,
MET,5542.2,N,27-Oct-16,P5,RT4,HYAVAL,,,2,,50,over water,under,,,526-533,,,Cyclanthaceae,Dicranopygium umbrophilum,glabrous,,,,male guarding,not touching,,,
MET,5544,N,27-Oct-16,P5,RT4,TERSPI,,,1,,80,over bank,under,,,534-541,,,Araceae,Spathiphyllum flavovirens,glabrous,,,,no,,,,
MET,550.1,N,27-Oct-16,P5,RT4,HYAVAL,,,2,,215,over water,under,,,592-560,,,Rubiaceae,Faramea suerrensis,glabrous,,,,male guarding,not touching,,,
MET,550.2,N,27-Oct-16,P5,RT4,HYAVAL,,,2,,215,over water,under,,,592-560,,,Rubiaceae,Faramea suerrensis,glabrous,,,,male guarding,touching,,,
MET,5553,N,27-Oct-16,P5,RT4,HYAVAL,,,1,,130,over water,under,,,592-560,,,Rubiaceae,Faramea suerrensis,glabrous,,,,male guarding,not touching,,,
MET,5566,N,28-Oct-16,P1,RT1,TERSPI,,,1,,159,over water,under,,44.57,609-612,,,Pteridophyta,,glabrous,,,,no,,,,
MET,5568,N,28-Oct-16,P1,RT3,TERSPI,,,1,,135,over water,under,,,613-618,1,,Burseraceaee,Protium panamense,glabrous,,,,no,,,damaged leaf,
MET,5569,N,28-Oct-16,P1,RT3,TERSPI,,,1,,135,over water,under,,,619,1,,Burseraceaee,Protium panamense,glabrous,,,,no,,,damaged leaf,
MET,5596,N,31-Oct-16,P1,RT3,TERSPI,,1,1,22,130,over bank,under,0,,633-637,,,Euphorbiaceae,Acalypha diversifolia,glabrous,,,,no,,,,
MET,P1HYAVAL12,N,11-Jun-17,P1,RT1,HYAVAL,45,4,2,39,400,over bank,under,na,,663-665,4,0,Heliconiaceae,Heliconia imbricata,glabrous,,,mud,male guarding,not touching,healthy,,"hyaval 11, 12, same male"
MET,P1HYAVAL13,N,11-Jun-17,P1,RT1,HYAVAL,46,4,3,uk,450,over bank,under,na,6203.226,666,4,1,Heliconiaceae,Heliconia imbricata,glabrous,,,mud,male guarding,not touching,uk,damaged leaf,"hyaval, 13, 14, 15, same male"
MET,P1HYAVAL14,N,11-Jun-17,P1,RT1,HYAVAL,45,"3,4",3,uk,450,over bank,under,,6203.226,666,4,1,Heliconiaceae,Heliconia imbricata,glabrous,,,mud,male guarding,not touching,uk,damaged leaf,"hyaval, 13, 14, 15, same male"
MET,5611,N,31-Oct-16,P1,RT2,TERSPI,,,1,,160,over water,under,,,644-645 ,,,Araceae,Anthurium ochanthum,glabrous,,,,no,,,,
MET,P1HYAVAL15,N,11-Jun-17,P1,RT1,HYAVAL,46,1,3,uk,450,over bank,under,,6203.226,666,4,1,Heliconiaceae,Heliconia imbricata,glabrous,,,mud,male guarding,not touching,uk,damaged leaf,"hyaval, 13, 14, 15, same male"
XOR,P1HYAVAL30,N,29-Jun-17,P1,RT1,HYAVAL,16.5,4-Mar,1,unk,200,over land,under,na,159.462,3413-3418/1403-1408,0,,Araceae,Rhodospatha wendlandii,glabrous,,,,no,,2 fungal,yes,check species
MET,5622,N,31-Oct-16,P1,RT1,TERSPI,,,1,,,over water,under,,,665-670,,,Piperaceae,Piper urophyllum,glabrous,,,,no,,,,
MET,6036,N,28-Nov-16,Tir,RT2,TERSPI,,,1,,180,over water,under,,,,,,Melastomataceae,Miconia commutata,glabrous,,,,no,,,,
MET,6038,N,28-Nov-16,Tir,RT2,TERSPI,,,1,,180,over water,under,,,,,,Gesneriaceae,Besleria robusta,hairy,,,,no,,,,
MET,6057,N,28-Nov-16,Tir,RT1,TERSPI,,,1,,52,over water,under,,,,,,Melastomataceae,Henriettella tuberculosa,glandular,,,,no,,,,
MET,6058,N,28-Nov-16,Tir,RT1,ESPPRO,,,1,,195,over water,under,,,,,,Melastomataceae,Henriettella tuberculosa,glandular,,,,no,,,,
MET,6061,N,28-Nov-16,Tir,RT1,ESPPRO,,,1,,165,over water,moss,,,,,,Moss,,other,,,,no,,,,
MET,6062,N,28-Nov-16,Tir,RT1,TERSPI,,,1,,120,over water,under,,,,,,Piperaceae,Piper pentagonum,hairy,,,,no,,,,
MET,3163,N,20-Nov-15,P15 ,RT3,TERSPI,,,1,,146,over bank,under,,,233,,,Arecaceae,,glabrous,,,,,,,,
MET,3164,N,20-Nov-15,P15 ,RT3,TERSPI,,,1,,200,,under,,,,,,Piperaceae,Piper pentagonum,hairy,,,,,,,,
MET,3485,N,22-Jan-16,P15 ,RT3,TERSPI,,,1,,180,over water,under,,, 175-177,,,Melastomataceae,Henriettea tuberculosa,glandular,,,,,,,,
MET,6066,N,28-Nov-16,Tir,RT1,TERSPI,,,1,,300,over water,under,,,,,,Araceae,,glabrous,,,,no,,,,
MET,P16ESPPRO1,N,22-May-17,P16,RT2,ESPPRO,28,4,1,30,180,over water,top,na,,"477, 480, 485",0,>20m,Piperaceae,Piper decurrens,glabrous,,,,no,,1 eggs grey/undeveloped,,
MET,P16ESPPRO2,N,25-May-17,P16,RT3,ESPPRO,0,2,1,21,152,over water,moss,na,,490,2,0.2,Moss,,other,,,sand,no,,2 eggs grey/undeveloped,,
MET,P16ESPPRO3,N,25-May-17,P16,RT3,ESPPRO,0,1,1,24,152,over water,moss,na,,"491, 493",2,0.2,Moss,,other,4,,sand,no,,healthy,,one tadpole left from previous egg mass laid in sampe spot (no data taken)
MET,P16TERSPI1,N,25-May-17,P16,RT3,TERSPI,46,4,1,20,130,over water,under,na,,499,0,>20m,Araceae,,glabrous,,,sand,no,,healthy,,
MET,P16ESPPRO4,N,30-May-17,P16,RT1,ESPPRO,20,2,1,21,201,over water,top,na,,na,0,,Moraceae,Maquira guianensis,glabrous,,,mud,no,,healthy,,
MET,P1HYAVAL1,D,8-Jun-17,P1,RT3,HYAVAL,50,4,1,15,350,over bank,under,na,,na,2,,Burseraceae,Protium panamense,glabrous,,,mud,male guarding,not touching,healthy,,
MET,P1HYAVAL2,D,8-Jun-17,P1,RT3,HYAVAL,50,4,2,uk,350,over water,under,na,,na,2,0.1,Burseraceae,Protium panamense,glabrous,60,,mud,male guarding,not touching,healthy,,same male as hyaval2
MET,P1HYAVAL3,D,8-Jun-17,P1,RT3,HYAVAL,50,1,2,45,350,over water,under,na,,na,2,0.1,Burseraceae,Protium panamense,glabrous,60,,mud,male guarding,not touching,healthy,,same male as hyaval 3
MET,P1HYAVAL4,D,8-Jun-17,P1,RT2,HYAVAL,50,4,3,4,140,over water,under,na,265.588,644-653,2,,Cyclanthaceae,Dicranopygium umbrophilum,glabrous,,,mud,male guarding,not touching,4 eggs grey/undeveloped,,"hyaval 4, 5, 6 same male"
MET,P1HYAVAL5,D,8-Jun-17,P1,RT2,HYAVAL,50,4,3,3,140,over water,under,na,265.588,644-653,2,0.02,Cyclanthaceae,Dicranopygium umbrophilum,glabrous,,,mud,male guarding,not touching,healthy,,"hyaval 4, 5, 6 same male"
MET,P1HYAVAL6,D,8-Jun-17,P1,RT2,HYAVAL,50,3,3,34,140,over water,under,na,265.588,644-653,2,0.02,Cyclanthaceae,Dicranopygium umbrophilum,glabrous,,,mud,male guarding,touching,healthy,,"hyaval 4, 5, 6 same male"
MET,P1TERSPI1,D,8-Jun-17,P1,RT1,TERSPI,5,4-Mar,1,28,250,over water,under,na,178.292,655-656,0,7,Primulaceae,Ardisia auriculata,glabrous,,,,no,,healthy,,
MET,P1ESPPRO1,D,8-Jun-17,P1,RT1,ESPPRO,12,3,1,21,200,over water,moss,na,,657,2,0.02,Moss,(on plant Elaeocarpaceae:Sloanea geniculata),other,,,sand,no,,healthy,,
MET,P1ESPPRO2,D,8-Jun-17,P1,RT1,ESPPRO,12,4,1,22,200,over water,moss,na,,658,2,0.02,Moss,(on plant Elaeocarpaceae:Sloanea geniculata),other,,,sand,no,,healthy,,
MET,P1ESPPRO3,D,8-Jun-17,P1,RT1,ESPPRO,12,4,1,16,200,over water,moss,na,,659,2,0.025,Moss,(on plant Elaeocarpaceae:Sloanea geniculata),other,,,sand,no,,healthy,,
MET,P1HYAVAL7,D,8-Jun-17,P1,RT1,HYAVAL,33,1,1,40,,over water,under,,520.568,667,4,0.04,Urticaceae,Myriocarpa longipes,hairy,10,,sand,male guarding,touching,healthy,,"hyaval7, 8 same male"
MET,P1HYAVAL8,D,8-Jun-17,P1,RT1,HYAVAL,33,4-Mar,1,uk,,over water,under,na,520.568,667,4,0.04,Urticaceae,Myriocarpa longipes,hairy,10,,sand,male guarding,touching,healthy,,"hyaval7, 8 same male"
MET,P1HYAVAL9,D,8-Jun-17,P1,RT1,HYAVAL,33,3,2,27,,over water,under,na,718.776,668,4,1,Urticaceae,Myriocarpa longipes,hairy,,,sand,male guarding,touching,healthy,,"hyaval 9, 10, same male"
MET,P1HYAVAL10,D,8-Jun-17,P1,RT1,HYAVAL,33,2,2,uk,,over water,under,,718.776,668,4,,Urticaceae,Myriocarpa longipes,hairy,,,sand,male guarding,not touching,unhealthy,,"hyaval 9, 10, same male"
XOR,P1HYAVAL24,N,29-Jun-17,P1,RT1,HYAVAL,31,1,1,unk,300,over water,under,17.34,439.823,3423-3425/1413-1414,0,,Urticaceae,Myriocarpa longipes,hairy,8,medium,sand,male guarding,on them,,no,
XOR,P1HYAVAL25,N,29-Jun-17,P1,RT1,HYAVAL,33,1,2,40,225,over water,under,21.87,374.107,3425-3426/1415-1416,4,,Urticaceae,Myriocarpa longipes,hairy,12,medium,sand,male and female in amplexus,amplexus on other side of leaf,,no,"hyaval 25, 26 same male. Spider on leaf"
XOR,P1HYAVAL26,N,29-Jun-17,P1,RT1,HYAVAL,33,4,2,12,225,over water,under,na,374.107,3425-3426/1415-1416,4,,Urticaceae,Myriocarpa longipes,hairy,12,medium,sand,male and female in amplexus,amplexus on other side of leaf,,no,"hyaval 25, 26 same male. Spider on leaf"
XOR,P1HYAVAL27,N,29-Jun-17,P1,RT1,HYAVAL,33,4,2,unk,250,over water,under,na,494.898,3427-3428/1417-1418,4,,Urticaceae,Myriocarpa longipes,hairy,,,,,,,,
XOR,P1HYAVAL28,N,29-Jun-17,P1,RT1,HYAVAL,33,unk,2,1,250,over water,under,na,494.898,3427-3428/1417-1418,4,,Urticaceae,Myriocarpa longipes,hairy,10,medium,sand,adults nearby,"same plant, different leaf",11 fungal,no,"hyaval 27, 28 same male"
MET,P1TERSPI2,N,11-Jun-17,P1,RT1,TERSPI,6,3,1,18,120,over water,under,na,213.091,"676-677, 678",2,0.5,Siparunaceae,Siparuna pauciflora,hairy,,,,no,,healthy,,
MET,P1TERSPI3,N,11-Jun-17,P1,RT1,TERSPI,6,1,1,19,100,over water,under,0,51.944,681-682,2,0.5,Araceae,,glabrous,14,,sand,no,,healthy,,
MET,P1TERSPI4,N,11-Jun-17,P1,RT2,TERSPI,44,1,1,36,320,over water,under,0,,687-689,0,9,Rubiaceae,,glabrous,17,,mud,no,,healthy,,lots of wasp nests in area
MET,P1ESPPRO4,N,11-Jun-17,P1,RT2,ESPPRO,34,1,1,uk,270,over water,top,0,61.211,690,0,10,Salicaceae,Pleuranthodendron linderii,hairy,15,,sand,no,,healthy,,
MET,2234,N,29-Jul-15,P1,RT2,HYAVAL,,,1,,170,over water,under,,,67-69,,,,,,,,,male guarding,,,,
MET,5613,N,31-Oct-16,P1,RT2,HYAVAL,,,1,,200,over water,under,,,646-647 ,,,Heleconiaceae,,glabrous,,,,male guarding,not touching,,damaged leaf,
MET,P1TERSPI5,N,11-Jun-17,P1,RT3,TERSPI,30,2,1,21,135,over water,under,3,129.413,700-702,1,1.5,Burseraceae,Protium panamense,glabrous,,,mud,no,,healthy,,
MET,P1TERSPI6,N,11-Jun-17,P1,RT3,TERSPI,29,4-Mar,1,12,130,over bank,under,na,1271.732,703-704,1,1,Araceae,Diffenbachia nitidipetiolata,glabrous,,,mud,no,,healthy,,
MET,P1TERSPI7,N,11-Jun-17,P1,RT3,TERSPI,5,"1, 2",1,19,135,over bank,under,0,3243.751,705-706,1,1.5,Araceae,Diffenbachia nitidipetiolata,glabrous,,,mud,no,,,damaged leaf,
MET,P1TERSPI8,N,11-Jun-17,P1,RT3,TERSPI,4,4,1,16,260,over bank,under,na,1400.697,707-710,1,1.5,Araceae,Diffenbachia nitidipetiolata,glabrous,,,mud,no,,healthy,,
MET,PIHYAVAL18,D,15-Jun-17,P1,RT3,HYAVAL,50,1,2,42,135,over water,under,42,,490,3,<1,Araceae,Anthurium upalaense,glabrous,,,mud,yes,not touching,healthy,,"hyaval 16, 18 same male"
XOR,P16ESPPRO5,N,12-Jun-17,P16,RT1,ESPPRO,5,4,1,6,83,over water,moss,na,,,0,na,Moss,,other,,,mud,?,nearby,healthy,,6 tadpoles left
XOR,P16ESPPRO6,N,12-Jun-17,P16,RT2,ESPPRO,26,4,1,uk,300,over water,top,na,,,1,0.4,Piperaceae,Piper decurrens,glabrous,,,sand,no,,possible predation,,possible predation (had a spider on it)
XOR,P16ESPPRO7,N,12-Jun-17,P16,RT2,ESPPRO,26,2,1,uk,310,over water,top,0,41.091,726-727,1,0.4,Piperaceae,Piper decurrens,glabrous,,,sand,no,,healthy,,
XOR,P16TERPI2,N,12-Jun-17,P16,RT3,TERSPI,7,4,1,12,70,over bank,under,na,,,0,,Pteridophyta,,spores,,,sand,?,"nearby 3 individuals, 2 in amplexus",healthy,,
XOR,P16TERPI3,N,12-Jun-17,P16,RT3,TERSPI,27,1,1,22,210,over water,under,0,105.118,724,1,3,Araceae,,glabrous,10,,sand,no,,healthy,,males calling nearby
XOR,P16TERPI4,N,12-Jun-17,P16,RT3,TERSPI,30,1,1,21,155,over water,under,0,43.278,719-723,1,3,Piperaceae,Piper decurrens,,25,,sand,no,,healthy,,
BG,TIRESPPRO3,N,17-Jun-17,TIR,RT1,ESPPRO,18,4,1,17,190,over water,moss,na,,755,0,0,Moss,(on plant Melastomataceae:Henriettella tuberculosa),other,10,,sand,no,,healthy,,
BG,TIRESPPRO1,N,17-Jun-17,TIR,RT2,ESPPRO,23,4,1,2,185,over water,top,na,29.183,729-734,0,3,,,,,slow,mud,no,,1healthy/1unhealhty,Damaged leaf,2 old egg masses near
